Query,Document ID,Is Relevant
Query1,doc1_1,0
Query1,doc1_2,1
Query1,doc1_3,1
Query1,doc1_4,0
Query1,doc1_5,0
Query1,doc1_6,0
Query1,doc1_7,0
Query1,doc1_8,1
Query1,doc1_9,0
Query1,doc1_10,1
Query2,doc2_1,0
Query2,doc2_2,1
Query2,doc2_3,1
Query2,doc2_4,0
Query2,doc2_5,0
Query2,doc2_6,0
Query2,doc2_7,0
Query2,doc2_8,0
Query2,doc2_9,0
Query2,doc2_10,0
Query3,doc3_1,0
Query3,doc3_2,0
Query3,doc3_3,0
Query3,doc3_4,0
Query3,doc3_5,0
Query3,doc3_6,1
Query3,doc3_7,0
Query3,doc3_8,0
Query3,doc3_9,0
Query3,doc3_10,0
Query4,doc4_1,0
Query4,doc4_2,0
Query4,doc4_3,0
Query4,doc4_4,1
Query4,doc4_5,1
Query4,doc4_6,1
Query4,doc4_7,0
Query4,doc4_8,0
Query4,doc4_9,0
Query4,doc4_10,0
Query5,doc5_1,0
Query5,doc5_2,0
Query5,doc5_3,0
Query5,doc5_4,1
Query5,doc5_5,0
Query5,doc5_6,0
Query5,doc5_7,0
Query5,doc5_8,0
Query5,doc5_9,0
Query5,doc5_10,0
