Query,Document ID,Is Relevant,Retrieval Order
Query1,doc1_9,0,1
Query1,doc1_2,0,2
Query1,doc1_6,1,3
Query1,doc1_1,0,4
Query1,doc1_8,1,5
Query1,doc1_3,0,6
Query1,doc1_10,1,7
Query1,doc1_5,1,8
Query1,doc1_4,0,9
Query1,doc1_7,0,10
Query2,doc2_7,0,1
Query2,doc2_3,0,2
Query2,doc2_9,0,3
Query2,doc2_8,1,4
Query2,doc2_10,0,5
Query2,doc2_6,0,6
Query2,doc2_2,0,7
Query2,doc2_4,0,8
Query2,doc2_1,1,9
Query2,doc2_5,0,10
Query3,doc3_9,0,1
Query3,doc3_8,0,2
Query3,doc3_6,0,3
Query3,doc3_4,0,4
Query3,doc3_2,0,5
Query3,doc3_1,0,6
Query3,doc3_10,0,7
Query3,doc3_7,1,8
Query3,doc3_3,0,9
Query3,doc3_5,0,10
Query4,doc4_3,1,1
Query4,doc4_1,1,2
Query4,doc4_5,1,3
Query4,doc4_9,1,4
Query4,doc4_7,0,5
Query4,doc4_6,1,6
Query4,doc4_10,0,7
Query4,doc4_4,0,8
Query4,doc4_8,0,9
Query4,doc4_2,0,10
Query5,doc5_7,0,1
Query5,doc5_3,0,2
Query5,doc5_6,0,3
Query5,doc5_9,0,4
Query5,doc5_4,0,5
Query5,doc5_1,0,6
Query5,doc5_10,0,7
Query5,doc5_8,0,8
Query5,doc5_5,1,9
Query5,doc5_2,1,10
