User Input,keep_faq_for_test,Correct FAQ,Actual FAQ returned (Top result),Correct FAQ in top 3,Associated URL
Using a dual sim card device,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How to manage my dual sim device,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Managing my dual sim phone,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How does a dual sim phone work,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Help managing my dual sim phone,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How do I manage my dual sim phone,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How do I manage my dual sim device,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How can I manage a dual-sim phone,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Duel sim activation,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
I want advice on managing a dual sim,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Managing a dual sim device,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
How does a dual sim phone work,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
My dual sim won't work,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
Not sure how dual sim works on my new phone,Y,How do I manage my dual-SIM phone?,,,https://support.vodafone.co.uk/SIM-eSIM/eSIM/1464047382/How-do-I-manage-my-dual-SIM-phone.htm
,N,What�s included in a Big Value Bundle?,,,
,N,What happens when I pay my Device Plan off in full?,,,
,N,How do I remove my Big Value Bundle?,,,
,N,How do I know what I�m controlling on my account?,,,
,N,How can I buy a Big Value Bundle?,,,
